vcpus,memory,images,start_time,app_init,lib_init,anonymization,lib_anony,total_time
2,32,120,0,9.278885517,126.588081152,65.42104192,192.009123072,201.288008589
2,32,120,0,9.062228775,130.7704128,68.733055232,199.503468032,208.565696807
2,32,120,0,9.317332662,122.438913792,66.615384064,189.054297856,198.371630518
1,64,90,0,9.537599648,142.413242112,30.96764416,173.380886272,182.91848592
1,64,90,0,9.440132253,143.623586048,30.48827008,174.111856128,183.551988381
1,64,90,0,9.613094301,143.821315072,31.01789696,174.839212032,184.452306333
1,64,90,0,9.790922793,144.80194816,30.738237952,175.540186112,185.331108905
1,64,90,0,9.795995514,143.991348992,31.203825152,175.195174144,184.991169658
1,64,90,0,9.402152168,145.628672256,31.553496832,177.182169088,186.584321256
1,64,90,0,9.73607352,143.689564928,30.923038976,174.612603904,184.348677424
1,64,90,0,9.540582631,143.041072128,31.077472,174.118544128,183.659126759
1,64,90,0,9.597162977,142.787641088,31.607675648,174.395316736,183.992479713
1,64,90,0,9.419586523,145.61143808,31.303867904,176.915305984,186.334892507
1,64,90,0,9.452983607,143.616372736,30.957274112,174.573646848,184.026630455
1,64,90,0,9.780621438,141.286178048,30.841243904,172.127421952,181.90804339
1,64,90,0,9.693964588,144.010537984,31.133761024,175.144299008,184.838263596
1,64,90,0,9.350446351,145.733753344,31.097883904,176.831637248,186.182083599
1,64,90,0,9.499396872,144.756242944,31.431233024,176.187475968,185.68687284
1,64,90,0,9.566709307,143.226944,30.304897024,173.531841024,183.098550331
1,64,90,0,9.693564266,140.544979968,30.941659136,171.486639104,181.18020337
1,64,90,0,10.028335997,145.168929792,29.993616128,175.16254592,185.190881917
1,64,90,0,9.543468095,147.572896,31.171950848,178.744846848,188.288314943
1,64,90,0,10.014731147,147.004452864,31.665225216,178.66967808,188.684409227
1,64,90,0,9.409571212,146.838616064,30.693532928,177.532148992,186.941720204
1,64,90,0,9.823766368,145.417776128,30.905869824,176.323645952,186.14741232
1,64,90,0,9.595325194,142.600249856,30.868164096,173.468413952,183.063739146
1,64,90,0,9.568358821,142.88869504,31.043192064,173.931887104,183.500245925
1,64,90,0,9.513979235,141.43550208,30.678545152,172.114047232,181.628026467
1,64,90,0,9.427343921,142.725938176,30.494627072,173.220565248,182.647909169
1,64,90,0,9.746113019,144.548057856,31.257019136,175.805076992,185.551190011
1,64,90,0,9.528494543,145.775316992,35.04338304,180.818700032,190.347194575
1,64,90,0,9.61580097,143.859280896,30.77835904,174.637639936,184.253440906
1,64,90,0,9.635071162,143.53616896,30.610514176,174.146683136,183.781754298
4,64,90,0,10.012409169,113.637814016,29.790543872,143.428357888,153.440767057
4,64,90,0,10.094642949,112.90209792,29.122466048,142.024563968,152.119206917
4,64,90,0,10.196342371,118.505371904,29.189656064,147.695027968,157.891370339
4,64,90,0,9.983713194,109.037136128,29.334523904,138.371660032,148.355373226
4,64,90,0,9.81944744,110.074356224,29.205927936,139.28028416,149.0997316
4,64,90,0,10.019421973,109.385827072,28.559124992,137.944952064,147.964374037
4,64,90,0,10.112100345,112.606123008,29.41326592,142.019388928,152.131489273
4,64,90,0,10.072746397,113.90765824,29.112088832,143.019747072,153.092493469
4,64,90,0,10.147734459,116.4663488,28.224354048,144.690702848,154.838437307
4,64,90,0,10.021103757,110.792500992,28.302544128,139.09504512,149.116148877
4,64,90,0,10.176073925,114.212216064,29.113716736,143.3259328,153.502006725
4,64,90,0,9.913156518,114.455739904,30.498164992,144.953904896,154.867061414
4,64,90,0,9.994433718,117.742537984,28.142994944,145.885532928,155.879966646
4,64,90,0,10.008157954,111.252547072,28.792422912,140.044969984,150.053127938
4,64,90,0,9.982783318,115.371864064,28.554360832,143.926224896,153.909008214
4,64,90,0,9.982515186,113.757668096,28.330317056,142.087985152,152.070500338
4,64,90,0,10.379619853,116.104816896,31.223888896,147.328705792,157.708325645
4,64,90,0,10.065662367,112.218269952,28.504100864,140.722370816,150.788033183
4,64,90,0,10.097083482,111.572262144,29.4416,141.013862144,151.110945626
4,64,90,0,10.001455567,112.450015744,28.566056192,141.016071936,151.017527503
4,64,90,0,9.9755746,109.610456064,28.874669824,138.485125888,148.460700488
4,64,90,0,10.009741019,116.389954816,29.230626304,145.62058112,155.630322139
4,64,90,0,10.084505255,116.340538112,28.214163968,144.55470208,154.639207335
4,64,90,0,10.125129641,112.348902912,29.101993984,141.450896896,151.576026537
4,64,90,0,10.006646135,107.606468096,33.169726976,140.776195072,150.782841207
4,64,90,0,10.017017969,114.406771712,28.708107008,143.11487872,153.131896689
4,64,90,0,9.85749577,116.442091776,29.808886016,146.250977792,156.108473562
4,64,90,0,9.995678404,112.089680896,28.924946176,141.014627072,151.010305476
4,64,90,0,10.075085792,112.0958272,28.92966784,141.02549504,151.100580832
4,64,90,0,10.116621244,115.016761856,28.694352896,143.711114752,153.827735996
2,32,20,0,11.634386565,138.298853888,15.886217984,154.185071872,165.819458437
2,32,20,0,9.446047518,136.04392576,15.750810368,151.794736128,161.240783646
2,32,20,0,9.040544313,138.52411008,15.425190912,153.949300992,162.989845305
2,32,20,0,9.532362313,126.77554304,15.185590016,141.961133056,151.493495369
2,32,20,0,9.511654322,128.124327424,15.34057984,143.464907264,152.976561586
2,32,20,0,8.702381459,122.656550656,15.354504192,138.011054848,146.713436307
2,32,20,0,9.194405968,123.133833984,15.030366976,138.16420096,147.358606928
2,32,20,0,8.437095458,114.921639168,15.791404032,130.7130432,139.150138658
2,32,20,0,8.749489093,127.373725184,15.524587008,142.898312192,151.647801285
2,32,20,0,8.749858644,121.54247168,15.320497152,136.862968832,145.612827476
2,32,20,0,9.144811312,125.380029952,15.300425984,140.680455936,149.825267248
2,32,20,0,8.786045089,127.413204992,15.20497792,142.618182912,151.404228001
2,32,20,0,9.237930781,113.924722944,15.599277056,129.524,138.761930781
2,32,20,0,9.015585226,124.507738112,15.253586944,139.761325056,148.776910282
2,32,20,0,9.172841911,117.709115136,15.431132928,133.140248064,142.313089975
2,32,20,0,8.46722256,128.707561984,15.403206912,144.110768896,152.577991456
2,32,20,0,8.593788649,126.746732032,15.385875968,142.132608,150.726396649
2,32,20,0,9.68925577,127.584205824,15.480144128,143.064349952,152.753605722
2,32,20,0,9.088811465,129.101125888,15.367999232,144.46912512,153.557936585
2,32,20,0,8.929358252,118.425140736,15.350499328,133.775640064,142.704998316
2,32,20,0,8.776827268,118.351565056,15.502983936,133.854548992,142.63137626
2,32,20,0,8.95651901,131.597040128,15.364512,146.961552128,155.918071138
2,32,20,0,8.876459964,126.154233088,15.198608896,141.352841984,150.229301948
2,32,20,0,9.108310342,117.32820224,15.64167296,132.9698752,142.078185542
2,32,20,0,8.971870111,111.631848192,15.283239936,126.915088128,135.886958239
2,32,20,0,11.332466388,126.597084928,15.316057088,141.913142016,153.245608404
2,32,20,0,9.276821779,123.89035904,15.35984,139.25019904,148.527020819
2,32,20,0,9.054491458,127.049590016,15.289851136,142.339441152,151.39393261
2,32,20,0,8.790969096,128.649885952,15.333433856,143.983319808,152.774288904
2,32,20,0,9.139523792,124.811550976,15.213392128,140.024943104,149.164466896
2,32,60,0,9.207455511,112.681353984,32.936726016,145.61808,154.825535511
2,32,60,0,8.847492718,123.151078144,32.905595136,156.05667328,164.904165998
2,32,60,0,14.538503418,119.632562944,33.047002112,152.679565056,167.218068474
2,32,60,0,9.701675878,117.004436736,33.205783296,150.210220032,159.91189591
2,32,60,0,9.481602449,116.293275136,33.407709696,149.700984832,159.182587281
2,32,60,0,8.911436904,127.059003904,31.932358144,158.991362048,167.902798952
2,32,60,0,11.754113543,125.390330112,32.938722816,158.329052928,170.083166471
2,32,60,0,8.800857117,125.449209856,32.768806144,158.218016,167.018873117
2,32,60,0,9.313161292,113.900161024,33.459820032,147.359981056,156.673142348
2,32,60,0,9.210924533,129.019475968,33.32302208,162.342498048,171.553422581
2,32,60,0,9.144927761,125.08770304,33.121049088,158.208752128,167.353679889
2,32,60,0,9.119761328,127.18792192,32.493971968,159.681893888,168.801655216
2,32,60,0,9.369141457,127.169410048,34.752947712,161.92235776,171.291499217
2,32,60,0,9.47839761,127.852003328,33.183140864,161.035144192,170.513541802
2,32,60,0,9.593392384,125.202841088,32.422668032,157.62550912,167.218901504
2,32,60,0,9.345609754,126.601062144,32.340197888,158.941260032,168.286869786
2,32,60,0,9.250410529,120.585282048,32.934547968,153.519830016,162.770240545
2,32,60,0,9.561603623,121.679148032,33.316390144,154.995538176,164.557141799
2,32,60,0,9.12819817,121.15730816,32.315736832,153.473044992,162.601243162
2,32,60,0,9.378457496,115.280402688,33.220183296,148.500585984,157.87904348
2,32,60,0,9.323881177,128.489321984,32.744823808,161.234145792,170.558026969
2,32,60,0,9.143474537,132.86999296,32.637952,165.50794496,174.651419497
2,32,60,0,9.549642623,126.097152,32.659300096,158.756452096,168.306094719
2,32,60,0,9.386834162,128.641957888,32.589997056,161.231954944,170.618789106
2,32,60,0,9.68025844,129.822982144,32.893087744,162.716069888,172.396328328
2,32,60,0,9.211557749,127.907024384,32.489975808,160.397000192,169.608557941
2,32,60,0,9.185968205,127.031350784,32.778306048,159.809656832,168.995625037
2,32,60,0,9.218963417,121.674781184,32.742223872,154.417005056,163.635968473
2,32,60,0,8.734415749,123.088011776,32.932528128,156.020539904,164.754955653
2,32,60,0,8.852029521,121.825934848,32.841929984,154.667864832,163.519894353
1,64,20,0,9.275427635,152.47870592,11.03109504,163.50980096,172.785228595
1,64,20,0,9.023275274,152.360987904,10.943410176,163.30439808,172.327673354
1,64,20,0,9.449998074,152.775117824,10.872939264,163.648057088,173.098055162
1,64,20,0,9.235649325,141.346848,10.951911936,152.298759936,161.534409261
1,64,20,0,9.281389879,137.247193088,10.753026048,148.000219136,157.281609015
1,64,20,0,9.354004369,139.283120128,10.800002816,150.083122944,159.437127313
1,64,20,0,9.402052967,141.30531712,10.829656832,152.134973952,161.537026919
1,64,20,0,9.18141757,140.77691008,10.93109504,151.70800512,160.88942269
1,64,20,0,9.547019967,140.17945216,10.847894016,151.027346176,160.574366143
1,64,20,0,9.294200818,140.138486784,10.954889984,151.093376768,160.387577586
1,64,20,0,9.171591106,141.01287296,10.808900864,151.821773824,160.99336493
1,64,20,0,9.302937666,138.36224512,10.788142848,149.150387968,158.453325634
1,64,20,0,9.302917462,137.72122112,10.783852032,148.505073152,157.807990614
1,64,20,0,9.353530711,138.680163072,10.903750144,149.583913216,158.937443927
1,64,20,0,9.376609581,137.96869504,10.829268736,148.797963776,158.174573357
1,64,20,0,9.309036214,138.689184,10.683633152,149.372817152,158.681853366
1,64,20,0,9.485747098,138.68917504,10.765735168,149.454910208,158.940657306
1,64,20,0,9.227160603,137.296016896,10.879384064,148.17540096,157.402561563
1,64,20,0,9.875257056,138.263975168,10.881658112,149.14563328,159.020890336
1,64,20,0,9.333745132,138.261835776,10.937513216,149.199348992,158.533094124
1,64,20,0,9.395139359,139.038406656,10.92169216,149.960098816,159.355238175
1,64,20,0,9.336713017,139.15340672,10.921661184,150.075067904,159.411780921
1,64,20,0,9.519717501,138.64422016,10.888377856,149.532598016,159.052315517
1,64,20,0,9.490822599,139.024040192,11.036844032,150.060884224,159.551706823
1,64,20,0,9.539201399,137.436276224,10.750355968,148.186632192,157.725833591
1,64,20,0,9.371866332,138.353383936,10.773046016,149.126429952,158.498296284
1,64,20,0,9.461592778,137.920449024,10.61702912,148.537478144,157.999070922
1,64,20,0,9.262164593,138.385062912,10.759327232,149.144390144,158.406554737
1,64,20,0,9.324861332,138.902914048,11.090502144,149.993416192,159.318277524
1,64,20,0,9.851748092,139.553129984,10.865822976,150.41895296,160.270701052
2,32,10,0,10.868673052,173.914982912,8.2473472,182.162330112,193.031003164
2,32,10,0,9.238390724,148.868380928,8.217042944,157.085423872,166.323814596
2,32,10,0,8.984376125,131.223249152,8.448110848,139.67136,148.655736125
2,32,10,0,8.965605428,133.248824832,8.167979008,141.41680384,150.382409268
2,32,10,0,8.494414375,131.741677056,8.081218048,139.822895104,148.317309479
2,32,10,0,8.312808938,127.785257984,7.872932096,135.65819008,143.970999018
2,32,10,0,8.875075426,138.955250944,8.287581184,147.242832128,156.117907554
2,32,10,0,9.286247976,125.40683008,8.332363008,133.739193088,143.025441064
2,32,10,0,9.203032514,127.732125952,8.062078976,135.794204928,144.997237442
2,32,10,0,8.462715722,130.065062912,8.248538112,138.313601024,146.776316746
2,32,10,0,8.747450197,128.304502016,8.068638976,136.373140992,145.120591189
2,32,10,0,8.656226666,129.140538112,8.179031808,137.31956992,145.975796586
2,32,10,0,8.686237311,130.5079168,8.263712,138.7716288,147.457866111
2,32,10,0,9.031661809,132.233257984,7.990206976,140.22346496,149.255126769
2,32,10,0,8.741888225,137.055267328,8.278722816,145.333990144,154.075878369
2,32,10,0,8.792510419,136.963411968,8.082174208,145.045586176,153.838096595
2,32,10,0,8.72138805,140.01355008,8.449803008,148.463353088,157.184741138
2,32,10,0,8.707735876,133.24037504,8.027419904,141.267794944,149.97553082
2,32,10,0,8.968862951,138.50406912,8.18649472,146.69056384,155.659426791
2,32,10,0,8.813247554,136.977226752,8.18623104,145.163457792,153.976705346
2,32,10,0,8.917653827,128.891837952,8.157309184,137.049147136,145.966800963
2,32,10,0,8.798120532,124.649758976,7.98872192,132.638480896,141.436601428
2,32,10,0,9.205462296,136.356496128,8.306323968,144.662820096,153.868282392
2,32,10,0,8.524796697,126.091630848,8.179506944,134.271137792,142.795934489
2,32,10,0,8.620650257,140.607252992,7.844103168,148.45135616,157.072006417
2,32,10,0,9.107769075,134.022694144,8.037998848,142.060692992,151.168462067
2,32,10,0,8.647393021,132.215692032,8.219447808,140.43513984,149.082532861
2,32,10,0,11.267942232,142.465933056,8.10220288,150.568135936,161.836078168
2,32,10,0,8.930255558,139.07933696,8.419687936,147.499024896,156.429280454
2,32,10,0,9.201492085,132.004108032,8.056567808,140.06067584,149.262167925
1,32,60,0,9.394919697,150.537340928,35.799334144,186.336675072,195.731594769
1,32,60,0,9.452895123,150.09006592,34.531492096,184.621558016,194.074453139
1,32,60,0,9.436553296,149.73136896,34.130265088,183.861634048,193.298187344
1,32,60,0,9.266049214,149.091873024,34.984248064,184.076121088,193.342170302
1,32,60,0,9.964953382,152.035876096,34.495120896,186.530996992,196.495950374
1,32,60,0,9.701100351,151.922217984,33.887913984,185.810131968,195.511232319
1,32,60,0,9.351549804,151.090621952,34.530926848,185.6215488,194.973098604
1,32,60,0,9.553395198,150.109118976,34.588370176,184.697489152,194.25088435
1,32,60,0,9.800976873,148.148664832,34.622806272,182.771471104,192.572447977
